candidate_family,family_label,source_summary_key,source_artifact_json,source_artifact_csv,source_status,source_present,candidate_row_count,terminal_closed_candidate_count,smooth_order_candidate_count,order_terminal_intersection_count,best_terminal_candidate,best_terminal_velocity,best_terminal_min_order,best_terminal_gap_to_order_floor,best_order_candidate,best_order_min_order,best_order_terminal_velocity,best_order_terminal_velocity_over_tolerance,terminal_velocity_tolerance,smooth_order_floor,accepted_h_sweep_present,full_tfe_stage_replacement,conclusion
hscaled_endpoint_pose_velocity_response,h-adaptive endpoint-pose predictor,endpoint_tfe_paper_lower_pair_endpoint_pose_velocity_hscaled_response_audit,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_endpoint_pose_velocity_hscaled_response_audit.json,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_endpoint_pose_velocity_hscaled_response_audit.csv,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_response_audit_not_full_tfe,True,4,1,0,0,stage02_convex_pose_velocity_extrapolate_0p00001_0p00002_hpow_m1_z,5.003868752135985e-13,3.523236988267623,1.476763011732377,stage02_convex_pose_velocity_extrapolate_0p00001_0p00002_hpow_m1_z,3.523236988267623,5.003868752135985e-13,0.5003868752135985,1e-12,5.0,False,False,terminal_closed_order_limited
recurrent_source_law_trajectory_screen,one/two-history recurrent source law,endpoint_tfe_paper_lower_pair_recurrent_source_law_trajectory_screen_audit,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_source_law_trajectory_screen_audit.json,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_source_law_trajectory_screen_audit.csv,paper_tfe_lower_pair_recurrent_source_law_trajectory_screen_not_full_tfe,True,6,0,5,0,recurrent_history_velocity_terminal_source01historyslope_z,2.016052997421329e-07,5.263815395103078,0.0,recurrent_twohistory_velocity_terminal_source01historyslopecurvature_z,5.354560546349589,2.770644168792393e-07,277064.4168792393,1e-12,5.0,False,False,order_preserved_terminal_open
recurrent_three_history_source_law_screen,three-history recurrent source law,endpoint_tfe_paper_lower_pair_recurrent_three_history_source_law_trajectory_screen_audit,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_three_history_source_law_trajectory_screen_audit.json,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_three_history_source_law_trajectory_screen_audit.csv,paper_tfe_lower_pair_recurrent_three_history_source_law_trajectory_screen_not_full_tfe,True,4,0,2,0,recurrent_threehistory_velocity_terminal_source01historyslopejerk_z,2.9231761567747616e-07,5.344565933980353,0.0,recurrent_threehistory_velocity_terminal_source01historyslopejerk_z,5.344565933980353,2.9231761567747616e-07,292317.61567747616,1e-12,5.0,False,False,order_preserved_terminal_open
recurrent_nonlinear_history_source_law_screen,nonlinear recurrent history source law,endpoint_tfe_paper_lower_pair_recurrent_nonlinear_history_source_law_trajectory_screen_audit,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_nonlinear_history_source_law_trajectory_screen_audit.json,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_nonlinear_history_source_law_trajectory_screen_audit.csv,paper_tfe_lower_pair_recurrent_nonlinear_history_source_law_trajectory_screen_not_full_tfe,True,5,0,0,0,recurrent_nonlinearhistory_velocity_terminal_source0historyhadamard_z,1.954059077745099e-07,3.524715068586823,1.475284931413177,recurrent_nonlinearhistory_velocity_terminal_source0historyhadamard_z,3.524715068586823,1.954059077745099e-07,195405.90777450992,1e-12,5.0,False,False,neither_gate_closed
recurrent_source_law_final_retain_boundary,recurrent source law with final-stage retain,endpoint_tfe_paper_lower_pair_recurrent_source_law_final_retain_boundary_audit,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_source_law_final_retain_boundary_audit.json,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_source_law_final_retain_boundary_audit.csv,paper_tfe_lower_pair_recurrent_source_law_final_retain_boundary_tradeoff_not_full_tfe,True,16,4,0,0,recurrent_history_velocity_terminal_finalretainsource_source01historyslope_rel_p0p000001_pow_p0_z,3.170526596170951e-13,4.508337848366589,0.4916621516334114,recurrent_twohistory_velocity_terminal_finalretainsource_source01historyslopecurvature_rel_p0p001_pow_p2_z,4.509978814073842,5.491134493026083e-10,549.1134493026083,1e-12,5.0,False,False,terminal_closed_order_limited
recurrent_feedback_gain_boundary,norm recurrent feedback gain,endpoint_tfe_paper_lower_pair_recurrent_feedback_gain_boundary_audit,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_feedback_gain_boundary_audit.json,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_feedback_gain_boundary_audit.csv,paper_tfe_lower_pair_recurrent_feedback_gain_boundary_tradeoff_not_full_tfe,True,8,5,1,0,recurrent_history_velocity_terminal_feedbacknorm_source01historyslope_rel_p12_z,1.0359808170537673e-16,4.508336746336974,0.49166325366302566,recurrent_history_velocity_terminal_feedbacknorm_source01historyslope_rel_p1_z,5.214733205096062,1.8683010573694444e-07,186830.10573694445,1e-12,5.0,False,False,split_frontier_no_intersection
recurrent_component_feedback_gain_boundary,component recurrent feedback gain,endpoint_tfe_paper_lower_pair_recurrent_component_feedback_gain_boundary_audit,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_component_feedback_gain_boundary_audit.json,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_component_feedback_gain_boundary_audit.csv,paper_tfe_lower_pair_recurrent_component_feedback_gain_boundary_tradeoff_not_full_tfe,True,8,5,1,0,recurrent_history_velocity_terminal_feedbackcomp_source01historyslope_rel_p12_z,7.537695465462602e-17,4.508336744118494,0.49166325588150617,recurrent_history_velocity_terminal_feedbackcomp_source01historyslope_rel_p1_z,5.214090687227761,1.8565893812113733e-07,185658.93812113733,1e-12,5.0,False,False,split_frontier_no_intersection
recurrent_hscaled_feedback_gain_boundary,h-scaled recurrent feedback gain,endpoint_tfe_paper_lower_pair_recurrent_hscaled_feedback_gain_boundary_audit,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_hscaled_feedback_gain_boundary_audit.json,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_recurrent_hscaled_feedback_gain_boundary_audit.csv,paper_tfe_lower_pair_recurrent_hscaled_feedback_gain_boundary_tradeoff_not_full_tfe,True,20,7,0,0,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p12_pow_p1_z,1.0359808170537673e-16,4.508338724940898,0.4916612750591023,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p2_pow_p2_z,4.711357628299785,1.3155100586254773e-08,13155.100586254774,1e-12,5.0,False,False,terminal_closed_order_limited
source_free_near_final_beta_boundary,near-final beta boundary,endpoint_tfe_paper_lower_pair_source_free_near_final_beta_boundary_audit,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_source_free_near_final_beta_boundary_audit.json,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_source_free_near_final_beta_boundary_audit.csv,paper_tfe_lower_pair_source_free_near_final_beta_boundary_tradeoff_not_full_tfe,True,8,1,2,0,beta=1.0,7.84531372284293e-17,4.508336745403036,0.4916632545969639,beta=0.9,5.307930296440854,1.1155259872754453e-06,1115525.9872754454,1e-12,5.0,False,False,split_frontier_no_intersection
source_free_order_closure_blend_trajectory,order/terminal closure blend,endpoint_tfe_paper_lower_pair_source_free_order_closure_blend_trajectory_audit,,results/cylindrical_chain_endpoint_tfe_paper_lower_pair_source_free_order_closure_blend_trajectory_audit.csv,paper_tfe_lower_pair_source_free_order_closure_blend_trajectory_tradeoff_not_full_tfe,True,18,6,6,0,beta=1,9.168988216415858e-17,1.9176628373022309,3.082337162697769,beta=0.5,5.3405827850218195,3.944559724769636e-06,3944559.7247696356,1e-12,5.0,False,False,split_frontier_no_intersection
