version,dirname,stage,method_family,main_improvement,best_metric,order_smooth,order_sharp,current_role,limitation,report
v001,v001_so3_benchmarks,baseline,SO3 kinematics and Euler top,Created the first reproducible SO3 benchmark suite for prescribed rotations and torque-free rigid body dynamics,Established baseline errors and invariant checks,,,Historical baseline,Only benchmark infrastructure; no corrected high-order winner yet,v001_so3_benchmarks/results/v001_report.md
v002,v002_cf4_right_order,kinematics,CF4 and RKMK4,Corrected the right-action commutator-free fourth-order formula and verified fourth-order Lie kinematics,CF4/RKMK4 reach about fourth order on SO3 kinematics,4,,Best prescribed-orientation candidate,Does not address constrained dynamics or friction,v002_cf4_right_order/results/v002_report.md
v003,v003_sbel_ra_repro,reproduction,SBEL/Negrut rA,Reproduced the SBEL rA-formulation code in a modern uv environment while preserving upstream source,Roughly first-order tested dynamics behavior; reproducibility baseline,,,Reproducibility anchor for Negrut/Kissel direction,Not a high-order competitor; rotation-matrix formulation and legacy scripts,v003_sbel_ra_repro/results/v003_report.md
v004,v004_yoshida_midpoint,mechanics,Yoshida composed Lie midpoint,Added fourth-order Yoshida composition for torque-free rigid-body mechanics,Near fourth order with strong energy/body-momentum preservation,4,,Structure-preserving conservative mechanics baseline,Negative substeps are a poor fit for friction/contact,v004_yoshida_midpoint/results/v004_report.md
v005,v005_gauss_lie4,mechanics,Gauss-Lie4,Added two-stage Gauss-Legendre body-angular-velocity solve plus right-action attitude reconstruction,Orientation order 3.987 and omega order 3.989; excellent invariant behavior,3.987,,Best smooth conservative mechanics candidate,Still unconstrained; Python prototype cost higher than explicit methods,v005_gauss_lie4/results/v005_report.md
v006,v006_fixed_pivot_dae,reduced_dae,Reduced Gauss-Lie4 DAE,Moved Gauss-Lie4 to fixed-pivot rigid-body DAE with exact holonomic reconstruction and recovered multipliers,Orientation order 3.986; constraints exact by reconstruction; 100s energy drift 1.495e-07,3.986,,Best reduced fixed-pivot constrained mechanics prototype,"Reduced formulation, not full absolute-coordinate DAE Newton solve",v006_fixed_pivot_dae/results/v006_report.md
v007,v007_absolute_gauss_dae,absolute_dae,Absolute-coordinate Gauss DAE,Implemented explicit-multiplier absolute-coordinate stage solve and discovered stage pos+vel+acc consistency is required,Best projected variant orientation order 3.970 and omega order 3.976,3.970,,Index-3 DAE consistency lesson,Still used endpoint projection after stage solve,v007_absolute_gauss_dae/results/v007_report.md
v008,v008_endpoint_constrained_dae,absolute_dae,Endpoint-constrained Gauss DAE,Internalized endpoint algebraic variables and constraints in a 54-variable Newton solve,Orientation order 3.970; endpoint constraints around 1e-16,3.970,,Best projection-free absolute-coordinate fixed-pivot prototype,Finite-difference Jacobian cost grows with residual size,v008_endpoint_constrained_dae/results/v008_report.md
v009,v009_friction_endpoint_dae,friction_dae,Frictional endpoint Gauss4,Added smooth and sharper Coulomb-like regularized pivot friction to the endpoint DAE residual,Smooth friction order 3.979/4.009; sharp friction order drops to 2.462/2.064,3.979,2.462,Friction order-reduction evidence,Finite-difference Jacobian; simple body-frame friction torque,v009_friction_endpoint_dae/results/v009_report.md
v010,v010_jax_jacobian_endpoint_dae,solver_backend,JAX AD Jacobian,Replaced finite-difference Newton Jacobians with JAX jacfwd for the 54-variable frictional endpoint residual,Roundoff agreement with finite difference; warm speedups about 30-40x,,,Best nonlinear-solve backend evidence,Still SO3 local-vector residual rather than explicit quaternion S3 transport,v010_jax_jacobian_endpoint_dae/results/v010_report.md
v011,v011_s3_transport_operator,operator,S3 transport Pi/Theta,Implemented and validated the paper's quaternion derivative transport Pi(g)=g_p T_exp+g_theta,Analytic transport matches AD at 1e-16 to 1e-15 scale,,,Operator-level bridge to paper formulation,"Isolated operator test, not a full integrator",v011_s3_transport_operator/results/v011_report.md
v012,v012_quaternion_endpoint_dae,quaternion_dae,S3 quaternion endpoint Gauss4,Embedded scalar-first unit quaternion right-action update into the endpoint-constrained frictional DAE residual,Matches SO3 endpoint residual to roundoff; smooth order 3.979; sharp order 2.462,3.979,2.462,Verified quaternion residual foundation,Still fourth order and still order-reduced under sharp friction,v012_quaternion_endpoint_dae/results/v012_report.md
