scope,requirement,status,metric_name,metric_value,threshold,evidence,blocking_gap,notes
cylindrical_smooth,endpoint_velocity_inside_square_residual,satisfied,max_kkt_residual|max_endpoint_velocity_residual,6.487e-14|3.634e-16,<1e-9 | <1e-10,cylindrical_chain_endpoint_kkt_closure.csv,,Endpoint velocity closure is solved in the augmented KKT residual instead of only by a post-step projection.
cylindrical_smooth,endpoint_correction_gap_quantified,satisfied,kkt_correction_order|finest_kkt_over_projection_ratio,6.909|0.213,finite h-sweep order and finite finest correction ratio,cylindrical_chain_endpoint_tfe_gap_audit.csv,,The remaining endpoint gap is measured on the same h-sweep used by the KKT closure and projection audits.
cylindrical_sharp,endpoint_velocity_inside_square_residual,satisfied,max_kkt_residual|max_endpoint_velocity_residual,5.723e-12|3.765e-16,<1e-9 | <1e-10,cylindrical_chain_endpoint_kkt_closure.csv,,Endpoint velocity closure is solved in the augmented KKT residual instead of only by a post-step projection.
cylindrical_sharp,endpoint_correction_gap_quantified,satisfied,kkt_correction_order|finest_kkt_over_projection_ratio,4.203|0.999,finite h-sweep order and finite finest correction ratio,cylindrical_chain_endpoint_tfe_gap_audit.csv,,The remaining endpoint gap is measured on the same h-sweep used by the KKT closure and projection audits.
global,stage_equations_tfe_weighted,satisfied,stage_equations_are_tfe_weighted,1,1,cylindrical_chain_endpoint_tfe_stage_weighted_candidate_audit.csv,,"A stage-row weighted endpoint candidate now premultiplies each Gauss6 FullVA stage block by sqrt(h*b_i) quadrature weights. This closes the pure weighting row but remains a diagonal equivalence candidate, not an independent full TFE stage replacement."
global,full_tfe_stage_replacement,missing,full_tfe_stage_replacement,0,1,cylindrical_chain_endpoint_tfe_stage_weighted_candidate_audit.csv,Replace the diagonal-equivalent stage-weighted candidate with an independent full TFE stage residual.,"The new weighted candidate is useful evidence, but a full TFE method still needs an independently derived TFE stage residual rather than row scaling of the Gauss6 FullVA equations."
global,independent_stage_functional_specification,satisfied,stage_functional_rows|block_count,132|6,132 rows | 6 row families,cylindrical_chain_endpoint_tfe_stage_functional_spec_audit.csv,,"The independent stage-functional specification now fixes six weak/TFE row families that sum to the 132-row stage budget. The executable equivalence audit is reported separately, and a non-equivalent full-TFE residual remains a separate missing requirement."
global,independent_stage_functional_implementation_audit,satisfied,implemented_rows|h_sweep_rows,132|True,132 rows | True,cylindrical_chain_endpoint_tfe_stage_functional_implementation_audit.csv,,"The independent stage-functional implementation audit assembles the six row families without calling the old residual as a row source and checks them over the smooth/sharp h-sweep. It remains Gauss6-equivalent, so full TFE replacement is still a separate missing requirement."
global,non_equivalent_stage_probe_audit,satisfied,probe_rows|max_probe_norm,36|8.352e-11,36 rows | finite nonzero probe,cylindrical_chain_endpoint_tfe_stage_non_equivalent_probe_audit.csv,,"The non-equivalent probe injects endpoint boundary corrections into each independent stage row family. It is evaluated over the h-sweep but not solved, so it narrows the full-TFE gap without closing it."
global,stage_probe_boundary_source_audit,satisfied,rows|block_count|max_lift_error|max_ratio_deviation,36|6|0.000e+00|2.220e-16,36 rows | 6 blocks | lift error <1e-12 | ratio deviation <1e-9,cylindrical_chain_endpoint_tfe_stage_probe_boundary_source_audit.csv,,The source audit checks that each evaluated non-equivalent stage-probe block is exactly the endpoint-boundary source seed lifted by sqrt(h*b_i) into the Gauss stages. It is readiness evidence for replacing the heuristic source with derived weak/TFE stage rows.
