scope,requirement,status,current_rows,proposed_rows,current_unknowns,proposed_extra_unknowns,implemented_in_v047,independent_of_gauss6_row_scaling,numerical_h_sweep_present,evidence,blocking_gap,notes
global,gauss6_fullva_stage_inventory,satisfied,132,132,132,0,True,False,True,residual_cylindrical_chain; cylindrical_chain_runs.csv,,The current cylindrical stage residual is square by construction: three stages times 44 rows/stage = 132 rows and 132 stage unknowns. This inventory fixes the exact row budget that a future independent TFE residual must replace.
global,endpoint_node_square_extension,satisfied,0,40,0,40,True,True,True,cylindrical_chain_endpoint_tfe_solved_candidate_audit.csv,,"The solved endpoint-node candidate adds endpoint pose corrections, endpoint velocity variables, and endpoint position/velocity multipliers as a 40-row/40-unknown square extension."
global,stage_quadrature_weighting,partial,132,132,132,0,True,False,True,cylindrical_chain_endpoint_tfe_stage_weighted_candidate_audit.csv,Replace diagonal row scaling by a separately derived weak/TFE stage functional.,"v047 premultiplies every Gauss6 FullVA stage row by sqrt(h*b_i) and solves the weighted rows, but the nonlinear equations are algebraically the same root set as Gauss6; this is a weighting and conditioning check, not an independent stage replacement."
global,independent_stage_functional_specification,satisfied,132,132,132,0,False,True,False,cylindrical_chain_endpoint_tfe_stage_functional_spec_audit.csv,Turn the specified weak/TFE row families into executable residual equations and run the h-sweep acceptance gate.,"The specification audit now separates six independent row families totaling 132 stage rows: translation/rotation position defects, translation/angular velocity defects, Newton-Euler balance, and lower-pair index-3 constraint rows. It is a derivation target, not an implemented residual."
global,independent_stage_functional_implementation_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_functional_implementation_audit.csv,Replace the Gauss6-equivalent independent assembly by a non-equivalent full TFE stage residual and solve the acceptance h-sweep.,"The independent stage-functional row families are now assembled and h-swept as executable rows, but the implementation audit verifies equivalence to the quadrature-weighted Gauss6 stage blocks. This is implementation progress, not a completed full-TFE replacement."
global,non_equivalent_stage_probe_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_non_equivalent_probe_audit.csv,Promote the non-equivalent probe into a solved square residual and run the full acceptance h-sweep.,"A non-equivalent endpoint-boundary correction probe is now evaluated on every stage row family over the smooth/sharp h-sweep. It quantifies the missing full-TFE stage term, but it is not solved as part of the Newton residual."
global,stage_probe_boundary_source_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_boundary_source_audit.csv,Replace the endpoint-boundary lifting law by derived weak/TFE stage source terms.,"The boundary-source audit reconstructs every non-equivalent probe block from endpoint position, velocity, dynamics, and constraint source seeds lifted to the three Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the current probe, but the source is still an endpoint-boundary heuristic rather than the derived full-TFE weak stage functional."
global,stage_probe_source_budget_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_source_budget_audit.csv,Turn the dominant endpoint-boundary source-family budget into derived weak/TFE stage source equations.,"The source-budget audit aggregates the six endpoint-boundary source families by L2/Linf budget, verifies the aggregate sqrt(h) lift, and records which weak-row source family dominates each case/h row. It prioritizes the next derived weak/TFE source terms without claiming a full TFE stage replacement."
global,stage_probe_dominant_source_split_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_probe_dominant_source_split_audit.csv,Turn the dominant Newton-Euler endpoint-boundary subcomponent budget into derived translational and rotational weak-balance source equations.,The dominant-source split audit decomposes the source-budget dominant Newton-Euler balance into body-local translational and rotational 3D components and verifies the componentwise sqrt(h*b_i) lift. It narrows the derived weak-row target but still uses endpoint-boundary source data.
global,solved_non_equivalent_stage_probe_audit,partial,132,132,132,0,True,True,True,cylindrical_chain_endpoint_tfe_stage_non_equivalent_solved_probe_audit.csv,Replace the heuristic endpoint-boundary probe by a derived full TFE weak stage residual and rerun the full acceptance h-sweep.,"The non-equivalent endpoint-boundary probe is now included inside the 132 stage equations and solved as part of the square Newton residual over the smooth/sharp h-sweep. This is a solvability bridge, not the final full-TFE method, because the added probe still comes from a boundary-correction heuristic rather than a derived variational stage functional."
